Name;Type;DLL;SymbolOrOrdinal
CLSID_WSCDefaultProduct;data;WSCAPI.dll;
CLSID_WSCProductList;data;WSCAPI.dll;
IID_IWSCDefaultProduct;data;WSCAPI.dll;
IID_IWSCProductList;data;WSCAPI.dll;
IID_IWscProduct;data;WSCAPI.dll;
LIBID_wscAPILib;data;WSCAPI.dll;
WscGetAntiMalwareUri;code;WSCAPI.dll;
WscGetSecurityProviderHealth;code;WSCAPI.dll;
WscQueryAntiMalwareUri;code;WSCAPI.dll;
WscRegisterForChanges;code;WSCAPI.dll;
WscRegisterForUserNotifications;code;WSCAPI.dll;
WscUnRegisterChanges;code;WSCAPI.dll;
wscAntiSpywareGetStatus;code;WSCAPI.dll;
wscAntiVirusExpiredBeyondThreshold;code;WSCAPI.dll;
wscAntiVirusGetStatus;code;WSCAPI.dll;
wscAutoUpdatesEnableScheduledMode;code;WSCAPI.dll;
wscAutoUpdatesGetStatus;code;WSCAPI.dll;
wscFirewallGetStatus;code;WSCAPI.dll;
wscGeneralSecurityGetStatus;code;WSCAPI.dll;
wscGetAlertStatus;code;WSCAPI.dll;
wscIcfEnable;code;WSCAPI.dll;
wscIeSettingsFix;code;WSCAPI.dll;
wscInitiateOfflineCleaning;code;WSCAPI.dll;
wscIsDefenderAntivirusSupported;code;WSCAPI.dll;
wscLuaSettingsFix;code;WSCAPI.dll;
wscMakeDefaultProductRequest;code;WSCAPI.dll;
wscNotifyUserForNearExpiration;code;WSCAPI.dll;
wscOverrideComponentStatus;code;WSCAPI.dll;
wscPing;code;WSCAPI.dll;
wscProductInfoFree;code;WSCAPI.dll;
wscRegisterChangeNotification;code;WSCAPI.dll;
wscRegisterSecurityProduct;code;WSCAPI.dll;
wscSetDefaultProduct;code;WSCAPI.dll;
wscUnRegisterChangeNotification;code;WSCAPI.dll;
wscUnregisterSecurityProduct;code;WSCAPI.dll;
wscUpdateProductStatus;code;WSCAPI.dll;
wscUpdateProductSubStatus;code;WSCAPI.dll;
